fecha,ciudad,categoria,producto,canal,cantidad,precio_unitario,descuento,satisfaccion,cliente_id
2025-01-27,Bogotá,Hogar,Set de ollas,Tienda,5,94.35,0,3,1116
2025-01-30,Bogotá,Electrónica,Smartwatch,Online,2,124.25,0,5,1055
2025-01-31,Cali,Electrónica,Parlante Bluetooth,Online,3,41.57,0.15,3,1161
2025-02-01,Medellín,Electrónica,Cámara de seguridad,Online,3,72.03,0,4,1092
2025-02-02,Medellín,Electrónica,Smartwatch,Online,2,116.68,0,4,1078
2025-02-02,Medellín,Electrónica,Cámara de seguridad,Online,2,72.26,0,4,1037
2025-02-02,Medellín,Moda,Jeans,Online,4,45.28,0.15,5,1020
2025-02-02,Bogotá,Electrónica,Parlante Bluetooth,Tienda,1,44.22,0,4,1047
2025-02-03,Bogotá,Moda,Camiseta básica,Online,2,15.56,0.05,3,1122
2025-02-03,Bogotá,Electrónica,Audífonos inalámbricos,Online,3,55.67,0.05,4,1161
2025-02-05,Cali,Deportes,Bicicleta estática,Online,3,285.40,0,4,1061
2025-02-06,Bogotá,Moda,Chaqueta,Tienda,4,77.72,0,4,1150
2025-02-08,Bogotá,Electrónica,Audífonos inalámbricos,Tienda,2,54.89,0,4,1047
2025-02-09,Bogotá,Moda,Tenis casuales,Online,3,67.94,0,5,1030
2025-02-10,Medellín,Deportes,Bicicleta estática,Online,2,277.47,0.15,4,1127
2025-02-10,Bogotá,Hogar,Lámpara de mesa,Tienda,1,26.79,0,4,1087
2025-02-10,Barranquilla,Hogar,Juego de sábanas,Online,2,36.05,0.05,4,1145
2025-02-15,Bucaramanga,Electrónica,Parlante Bluetooth,Tienda,1,48.36,0.1,4,1035
2025-02-17,Bogotá,Hogar,Juego de sábanas,Online,1,37.30,0.15,4,1116
2025-02-19,Medellín,Electrónica,Tablet 10",Tienda,1,227.54,0,4,1029
2025-02-20,Bucaramanga,Moda,Tenis casuales,Tienda,1,67.95,0.15,4,1141
2025-02-20,Bucaramanga,Electrónica,Tablet 10",Tienda,3,257.28,0,4,1041
2025-02-22,Medellín,Electrónica,Cámara de seguridad,Tienda,1,76.64,0,3,1013
2025-02-24,Medellín,Electrónica,Smartwatch,Tienda,2,129.59,0,4,1154
2025-02-25,Medellín,Deportes,Tapete de yoga,Tienda,4,22.84,0.15,5,1009
2025-02-27,Bogotá,Hogar,Set de ollas,Online,3,83.07,0,5,1036
2025-02-28,Medellín,Deportes,Tapete de yoga,Online,2,20.43,0,5,1141
2025-02-28,Bucaramanga,Electrónica,Audífonos inalámbricos,Tienda,3,62.18,0.05,4,1101
2025-03-02,Bogotá,Electrónica,Audífonos inalámbricos,Tienda,3,57.63,0,4,1159
2025-03-02,Barranquilla,Moda,Tenis casuales,Tienda,3,59.61,0.1,,1071
2025-03-02,Barranquilla,Electrónica,Parlante Bluetooth,Online,2,46.52,0,5,1147
2025-03-03,Medellín,Electrónica,Audífonos inalámbricos,Tienda,2,54.46,0.15,4,1088
2025-03-03,Cali,Moda,Camiseta básica,Tienda,4,14.59,0,5,1031
2025-03-04,Medellín,Hogar,Lámpara de mesa,Online,4,29.73,0,,1079
2025-03-04,Bogotá,Hogar,Juego de sábanas,Tienda,5,35.70,0.05,4,1100
2025-03-06,Bogotá,Hogar,Aspiradora,Online,5,137.27,0.1,5,1089
2025-03-08,Medellín,Hogar,Juego de sábanas,Tienda,4,35.18,0,4,1045
2025-03-08,Medellín,Moda,Tenis casuales,Online,4,59.28,0.1,4,1126
2025-03-09,Medellín,Deportes,Mancuernas 10 kg,Online,3,46.66,0,5,1179
2025-03-09,Bogotá,Electrónica,Cámara de seguridad,Online,2,85.99,0,5,1066
2025-03-10,Medellín,Deportes,Botella térmica,Online,1,19.09,0,4,1066
2025-03-10,Cali,Electrónica,Smartwatch,Online,1,129.51,0.1,4,1023
2025-03-10,Bogotá,Electrónica,Cámara de seguridad,Tienda,3,73.88,0,3,1073
2025-03-11,Bucaramanga,Hogar,Aspiradora,Online,1,149.43,0.15,5,1069
2025-03-12,Cali,Moda,Bolso,Online,1,58.53,0.1,4,1048
2025-03-14,Medellín,Electrónica,Tablet 10",Tienda,3,266.10,0,4,1012
2025-03-15,Bogotá,Electrónica,Tablet 10",Online,1,258.95,0.15,5,1098
2025-03-17,Bogotá,Hogar,Licuadora,Tienda,2,54.39,0,4,1126
2025-03-17,Cali,Deportes,Botella térmica,Tienda,4,17.59,0.1,4,1104
2025-03-18,Cali,Deportes,Bicicleta estática,Tienda,3,274.39,0.15,5,1045
2025-03-18,Barranquilla,Hogar,Aspiradora,Online,4,155.86,0.15,4,1083
2025-03-18,Medellín,Deportes,Mancuernas 10 kg,Tienda,2,44.45,0.15,4,1179
2025-03-18,Bogotá,Moda,Camiseta básica,Online,3,15.40,0,5,1043
2025-03-18,Bogotá,Electrónica,Tablet 10",Online,1,229.04,0.1,5,1022
2025-03-18,Bogotá,Electrónica,Smartwatch,Tienda,3,127.21,0,4,1019
2025-03-20,Medellín,Deportes,Bicicleta estática,Tienda,2,298.64,0,5,1067
2025-03-21,Bogotá,Hogar,Set de ollas,Online,4,87.10,0.1,5,1086
2025-03-21,Bogotá,Deportes,Mancuernas 10 kg,Tienda,4,49.41,0,3,1088
2025-03-22,Barranquilla,Electrónica,Tablet 10",Online,1,266.36,0,4,1072
2025-03-23,Medellín,Electrónica,Smartwatch,Online,3,121.81,0,5,1094
2025-03-23,Bogotá,Hogar,Aspiradora,Tienda,1,142.45,0.05,4,1136
2025-03-23,Medellín,Electrónica,Smartwatch,Tienda,2,133.29,0.15,4,1155
2025-03-25,Bogotá,Hogar,Lámpara de mesa,Online,3,29.58,0.15,5,1136
2025-03-26,Cali,Deportes,Botella térmica,Online,2,20.23,0.15,4,1014
2025-03-26,Medellín,Electrónica,Audífonos inalámbricos,Tienda,3,57.01,0,4,1028
2025-03-27,Bogotá,Hogar,Aspiradora,Online,5,143.70,0,4,1072
2025-03-28,Medellín,Hogar,Lámpara de mesa,Online,4,31.45,0,4,1046
2025-03-29,Medellín,Hogar,Licuadora,Tienda,1,59.17,0,4,1092
2025-03-29,Barranquilla,Electrónica,Tablet 10",Tienda,1,232.28,0,4,1041
2025-03-31,Bogotá,Moda,Tenis casuales,Tienda,1,66.35,0.15,3,1038
2025-03-31,Bogotá,Hogar,Juego de sábanas,Online,1,40.89,0,5,1017
2025-03-31,Barranquilla,Hogar,Juego de sábanas,Tienda,4,40.60,0.15,4,1109
2025-04-01,Bogotá,Electrónica,Parlante Bluetooth,Tienda,1,48.60,0,4,1116
2025-04-02,Bogotá,Deportes,Botella térmica,Tienda,3,19.63,0,3,1103
2025-04-02,Cali,Electrónica,Cámara de seguridad,Tienda,2,72.34,0,4,1175
2025-04-04,Medellín,Moda,Chaqueta,Tienda,2,84.20,0,3,1040
2025-04-06,Bucaramanga,Electrónica,Cámara de seguridad,Tienda,2,77.65,0.05,4,1176
2025-04-07,Cali,Electrónica,Audífonos inalámbricos,Tienda,1,64.74,0.05,4,1078
2025-04-07,Medellín,Electrónica,Cámara de seguridad,Online,2,72.06,0,4,1136
2025-04-07,Bucaramanga,Deportes,Botella térmica,Online,4,19.07,0.1,5,1151
2025-04-09,Cali,Electrónica,Tablet 10",Tienda,3,255.04,0.05,4,1155
2025-04-10,Cali,Hogar,Licuadora,Online,2,59.56,0,4,1042
2025-04-10,Bogotá,Deportes,Mancuernas 10 kg,Online,3,41.78,0.05,5,1145
2025-04-11,Bogotá,Hogar,Set de ollas,Online,5,95.32,0,5,1077
2025-04-12,Bucaramanga,Electrónica,Smartwatch,Online,3,136.44,0.1,5,1059
2025-04-13,Bogotá,Deportes,Bicicleta estática,Online,4,290.99,0.05,5,1124
2025-04-14,Barranquilla,Deportes,Mancuernas 10 kg,Online,3,46.15,0.1,4,1118
2025-04-14,Cali,Electrónica,Smartwatch,Tienda,1,125.58,0,4,1041
2025-04-14,Barranquilla,Electrónica,Parlante Bluetooth,Online,3,40.95,0,4,1092
2025-04-14,Medellín,Deportes,Bicicleta estática,Tienda,1,273.25,0,4,1150
2025-04-17,Medellín,Hogar,Aspiradora,Online,1,139.24,0.15,4,1148
2025-04-18,Bogotá,Moda,Jeans,Online,3,47.02,0.15,3,1013
2025-04-18,Barranquilla,Hogar,Aspiradora,Online,2,161.65,0.1,5,1005
2025-04-18,Cali,Moda,Tenis casuales,Online,4,70.02,0,5,1119
2025-04-19,Bogotá,Electrónica,Audífonos inalámbricos,Online,1,58.53,0,4,1107
2025-04-21,Cali,Hogar,Aspiradora,Tienda,5,156.23,0,4,1070
2025-04-22,Medellín,Hogar,Lámpara de mesa,Online,3,28.79,0.1,4,1002
2025-04-23,Medellín,Electrónica,Tablet 10",Online,2,243.35,0,4,1023
2025-04-24,Bogotá,Deportes,Bicicleta estática,Online,2,274.65,0,4,1030
2025-04-25,Medellín,Hogar,Licuadora,Online,5,50.60,0,4,1067
2025-04-27,Bogotá,Electrónica,Smartwatch,Online,2,140.40,0,4,1016
2025-04-27,Cali,Electrónica,Tablet 10",Tienda,1,261.10,0.1,4,1110
2025-04-27,Bogotá,Hogar,Juego de sábanas,Online,2,40.29,0.1,5,1049
2025-04-28,Bogotá,Moda,Tenis casuales,Online,4,58.81,0.05,4,1168
2025-04-29,Bogotá,Electrónica,Audífonos inalámbricos,Online,3,64.05,0.05,5,1100
2025-04-29,Bogotá,Electrónica,Parlante Bluetooth,Tienda,3,45.33,0,4,1158
2025-05-01,Medellín,Moda,Tenis casuales,Online,1,61.40,0,4,1055
2025-05-01,Bogotá,Moda,Jeans,Online,3,46.93,0.15,4,1074
2025-05-02,Medellín,Hogar,Aspiradora,Tienda,4,155.08,0.15,3,1070
2025-05-03,Cali,Moda,Bolso,Online,2,54.26,0,4,1024
2025-05-04,Bogotá,Electrónica,Cámara de seguridad,Online,3,81.71,0,5,1159
2025-05-05,Bogotá,Electrónica,Audífonos inalámbricos,Online,2,57.20,0.15,4,1028
2025-05-05,Cali,Moda,Tenis casuales,Tienda,3,61.00,0,5,1043
2025-05-06,Bucaramanga,Hogar,Licuadora,Online,3,51.56,0,4,1084
2025-05-06,Bogotá,Moda,Tenis casuales,Online,4,64.57,0,4,1018
2025-05-08,Bogotá,Moda,Tenis casuales,Online,4,70.63,0,4,1110
2025-05-08,Medellín,Deportes,Botella térmica,Online,3,17.30,0,4,1054
2025-05-08,Barranquilla,Electrónica,Cámara de seguridad,Tienda,2,77.99,0,5,1095
2025-05-09,Bogotá,Electrónica,Cámara de seguridad,Online,1,81.24,0,4,1032
2025-05-09,Barranquilla,Hogar,Lámpara de mesa,Tienda,3,29.12,0,4,1125
2025-05-10,Bogotá,Moda,Jeans,Tienda,1,52.04,0.05,,1015
2025-05-11,Bogotá,Electrónica,Audífonos inalámbricos,Online,3,53.17,0.1,4,1177
2025-05-11,Barranquilla,Electrónica,Cámara de seguridad,Online,2,78.68,0,4,1034
2025-05-11,Cali,Moda,Bolso,Tienda,2,56.69,0.1,4,1035
2025-05-12,Cali,Hogar,Juego de sábanas,Tienda,1,40.52,0,4,1055
2025-05-12,Medellín,Electrónica,Parlante Bluetooth,Tienda,2,42.97,0.1,3,1057
2025-05-14,Medellín,Moda,Bolso,Online,4,62.94,0.05,3,1157
2025-05-15,Bogotá,Hogar,Set de ollas,Tienda,4,86.59,0.05,4,1110
2025-05-18,Cali,Deportes,Balón de fútbol,Tienda,1,24.96,0.1,3,1120
2025-05-18,Cali,Electrónica,Tablet 10",Online,1,251.42,0,4,1144
2025-05-20,Bogotá,Hogar,Set de ollas,Online,3,91.56,0.15,5,1171
2025-05-20,Cali,Hogar,Aspiradora,Online,5,162.21,0.2,3,1041
2025-05-21,Cali,Moda,Bolso,Tienda,1,54.75,0,5,1145
2025-05-22,Medellín,Deportes,Bicicleta estática,Online,3,274.16,0,4,1079
2025-05-22,Bogotá,Moda,Bolso,Tienda,1,61.08,0.1,4,1028
2025-05-22,Cali,Deportes,Tapete de yoga,Tienda,1,22.44,0.05,5,1025
2025-05-24,Barranquilla,Electrónica,Tablet 10",Online,1,227.60,0.1,,1102
2025-05-25,Medellín,Moda,Camiseta básica,Tienda,3,14.33,0.1,4,1169
2025-05-25,Bogotá,Deportes,Tapete de yoga,Online,1,23.20,0,4,1110
2025-05-26,Bogotá,Hogar,Set de ollas,Tienda,1,89.13,0,3,1102
2025-05-27,Cali,Electrónica,Cámara de seguridad,Online,2,75.90,0.1,5,1135
2025-05-29,Bogotá,Moda,Camiseta básica,Online,3,14.42,0.05,5,1135
2025-05-29,Bogotá,Moda,Jeans,Tienda,2,49.90,0.05,5,1053
2025-05-30,Barranquilla,Moda,Tenis casuales,Tienda,4,70.18,0,4,1099
2025-06-01,Medellín,Deportes,Balón de fútbol,Tienda,4,25.16,0,4,1091
2025-06-02,Bucaramanga,Deportes,Tapete de yoga,Tienda,3,21.72,0.15,4,1049
2025-06-02,Medellín,Hogar,Lámpara de mesa,Tienda,4,29.93,0.1,4,1125
2025-06-02,Medellín,Electrónica,Tablet 10",Online,1,254.43,0.05,,1141
2025-06-02,Bogotá,Moda,Chaqueta,Tienda,3,77.83,0.15,3,1147
2025-06-03,Barranquilla,Electrónica,Tablet 10",Online,2,236.63,0,5,1014
2025-06-03,Medellín,Electrónica,Tablet 10",Tienda,1,247.15,0,4,1005
2025-06-03,Medellín,Hogar,Set de ollas,Tienda,4,88.15,0.1,3,1170
2025-06-06,Bogotá,Hogar,Juego de sábanas,Online,5,35.72,0,5,1082
2025-06-07,Cali,Hogar,Licuadora,Online,5,53.92,0,5,1072
2025-06-08,Bogotá,Deportes,Mancuernas 10 kg,Online,4,49.36,0.15,4,1114
2025-06-09,Barranquilla,Moda,Jeans,Online,1,51.45,0,4,1049
2025-06-10,Bogotá,Moda,Camiseta básica,Tienda,3,15.03,0.1,4,1159
2025-06-11,Cali,Electrónica,Tablet 10",Tienda,3,243.53,0,4,1069
2025-06-11,Bogotá,Electrónica,Cámara de seguridad,Online,3,83.17,0.1,4,1129
2025-06-12,Cali,Hogar,Licuadora,Online,3,56.24,0.2,4,1038
2025-06-12,Cali,Hogar,Lámpara de mesa,Online,1,31.58,0.15,4,1166
2025-06-12,Bogotá,Electrónica,Parlante Bluetooth,Tienda,2,47.03,0.1,4,1129
2025-06-14,Cali,Hogar,Licuadora,Tienda,3,54.16,0,4,1104
2025-06-14,Cali,Electrónica,Parlante Bluetooth,Tienda,2,45.81,0,4,1005
2025-06-14,Bogotá,Deportes,Balón de fútbol,Online,4,22.93,0,5,1061
2025-06-14,Bogotá,Deportes,Botella térmica,Online,4,18.30,0.1,5,1039
2025-06-15,Medellín,Deportes,Tapete de yoga,Tienda,2,23.54,0.05,4,1041
2025-06-16,Bucaramanga,Electrónica,Smartwatch,Online,1,119.31,0,4,1120
2025-06-17,Cali,Electrónica,Audífonos inalámbricos,Online,3,62.15,0.2,4,1120
2025-06-18,Bogotá,Electrónica,Smartwatch,Tienda,3,129.29,0.15,,1135
2025-06-19,Barranquilla,Moda,Bolso,Online,2,58.54,0,4,1179
2025-06-19,Cali,Deportes,Balón de fútbol,Tienda,2,25.08,0.1,4,1050
2025-06-19,Bogotá,Moda,Jeans,Tienda,2,50.19,0,4,1165
2025-06-20,Barranquilla,Hogar,Aspiradora,Online,4,142.51,0,4,1036
2025-06-21,Bogotá,Hogar,Juego de sábanas,Online,4,39.76,0.1,4,1083
2025-06-22,Bucaramanga,Moda,Jeans,Online,2,53.71,0.1,5,1118
2025-06-23,Bogotá,Moda,Jeans,Tienda,3,44.27,0,,1041
2025-06-24,Bogotá,Electrónica,Smartwatch,Online,1,123.37,0,4,1115
2025-06-24,Barranquilla,Moda,Camiseta básica,Online,3,14.86,0,,1042
2025-06-25,Medellín,Moda,Camiseta básica,Online,4,15.88,0,5,1113
2025-06-26,Barranquilla,Hogar,Aspiradora,Tienda,1,136.08,0,4,1029
2025-06-26,Bogotá,Hogar,Set de ollas,Online,5,90.96,0.1,5,1080
2025-06-26,Bogotá,Hogar,Aspiradora,Tienda,4,140.34,0,4,1138
2025-06-27,Bogotá,Deportes,Bicicleta estática,Online,1,284.75,0,4,1055
2025-06-27,Cali,Electrónica,Cámara de seguridad,Online,1,84.37,0.05,4,1015
2025-06-27,Medellín,Electrónica,Tablet 10",Online,1,268.55,0,4,1054
2025-06-27,Bogotá,Moda,Bolso,Tienda,4,53.42,0,4,1016
2025-06-27,Medellín,Hogar,Juego de sábanas,Online,4,42.48,0,5,1070
2025-06-28,Bogotá,Hogar,Lámpara de mesa,Online,3,26.16,0.05,4,1077
2025-06-28,Bogotá,Hogar,Lámpara de mesa,Tienda,5,27.20,0,4,1072
2025-06-28,Medellín,Moda,Tenis casuales,Online,3,67.87,0.2,4,1131
2025-06-28,Bucaramanga,Hogar,Licuadora,Online,5,49.86,0.1,5,1069
2025-06-28,Cali,Electrónica,Parlante Bluetooth,Online,1,43.73,0,5,1001
2025-06-29,Barranquilla,Hogar,Set de ollas,Online,5,91.06,0.2,,1144
2025-06-29,Bogotá,Moda,Jeans,Online,1,44.12,0.15,4,1051
2025-07-01,Cali,Electrónica,Cámara de seguridad,Tienda,1,75.87,0.2,4,1140
2025-07-01,Medellín,Moda,Chaqueta,Online,3,83.13,0.1,4,1135
2025-07-01,Medellín,Electrónica,Cámara de seguridad,Online,3,76.83,0.05,4,1104
2025-07-02,Bucaramanga,Hogar,Licuadora,Online,1,57.81,0,5,1042
2025-07-02,Bogotá,Moda,Camiseta básica,Tienda,4,15.51,0.1,3,1080
2025-07-04,Bucaramanga,Hogar,Licuadora,Online,2,58.83,0,4,1088
2025-07-04,Medellín,Electrónica,Parlante Bluetooth,Tienda,2,43.61,0.15,4,1155
2025-07-04,Barranquilla,Electrónica,Smartwatch,Tienda,3,117.41,0.15,4,1078
2025-07-06,Barranquilla,Moda,Bolso,Online,3,53.28,0.2,3,1060
2025-07-08,Medellín,Hogar,Licuadora,Online,4,50.43,0,4,1116
2025-07-08,Cali,Moda,Bolso,Tienda,1,59.82,0.15,,1160
2025-07-11,Medellín,Deportes,Balón de fútbol,Tienda,2,24.42,0.15,4,1149
2025-07-12,Barranquilla,Electrónica,Cámara de seguridad,Online,1,83.68,0.15,,1111
2025-07-13,Barranquilla,Hogar,Aspiradora,Online,5,141.15,0.15,4,1067
2025-07-14,Bogotá,Moda,Jeans,Online,4,53.13,0,5,1026
2025-07-14,Bogotá,Hogar,Lámpara de mesa,Online,4,27.24,0,3,1155
2025-07-15,Bogotá,Moda,Tenis casuales,Online,1,67.94,0,4,1063
2025-07-15,Medellín,Deportes,Mancuernas 10 kg,Online,4,49.38,0,5,1029
2025-07-16,Medellín,Electrónica,Parlante Bluetooth,Tienda,2,49.02,0.15,4,1057
2025-07-17,Cali,Electrónica,Audífonos inalámbricos,Online,2,61.35,0,4,1174
2025-07-18,Barranquilla,Hogar,Licuadora,Online,4,56.94,0,4,1014
2025-07-18,Bogotá,Moda,Bolso,Tienda,3,53.31,0.15,4,1050
2025-07-18,Bogotá,Hogar,Aspiradora,Online,3,148.27,0.05,4,1058
2025-07-19,Barranquilla,Deportes,Bicicleta estática,Tienda,2,324.89,0,4,1142
2025-07-20,Cali,Electrónica,Audífonos inalámbricos,Tienda,2,55.95,0.1,4,1022
2025-07-20,Medellín,Electrónica,Audífonos inalámbricos,Tienda,2,58.70,0.15,3,1032
2025-07-22,Bogotá,Deportes,Bicicleta estática,Tienda,3,314.23,0,4,1056
2025-07-23,Bogotá,Electrónica,Audífonos inalámbricos,Online,1,53.15,0,4,1030
2025-07-24,Bogotá,Hogar,Licuadora,Online,2,60.32,0,3,1179
2025-07-25,Medellín,Moda,Jeans,Online,2,45.49,0,4,1159
2025-07-26,Bogotá,Moda,Tenis casuales,Tienda,1,58.89,0.05,4,1115
2025-07-26,Medellín,Electrónica,Parlante Bluetooth,Online,1,42.62,0,5,1127
2025-07-27,Medellín,Deportes,Botella térmica,Online,3,18.14,0.1,,1012
2025-07-27,Barranquilla,Electrónica,Audífonos inalámbricos,Tienda,2,61.83,0,3,1012
2025-07-28,Bogotá,Hogar,Lámpara de mesa,Tienda,2,30.67,0.05,3,1064
2025-07-29,Cali,Electrónica,Audífonos inalámbricos,Tienda,1,58.09,0.15,3,1007
2025-07-29,Barranquilla,Moda,Tenis casuales,Tienda,3,65.40,0.05,4,1175
2025-07-30,Bogotá,Hogar,Aspiradora,Tienda,2,148.30,0,3,1143
2025-07-30,Medellín,Hogar,Aspiradora,Tienda,3,145.92,0,4,1016
2025-07-31,Cali,Moda,Tenis casuales,Tienda,4,69.47,0.05,4,1172
2025-07-31,Cali,Electrónica,Cámara de seguridad,Tienda,3,84.97,0,,1062
2025-07-31,Bogotá,Electrónica,Cámara de seguridad,Online,1,77.57,0.15,4,1166
2025-08-01,Bucaramanga,Hogar,Juego de sábanas,Online,5,36.94,0,4,1005
2025-08-03,Cali,Moda,Camiseta básica,Online,3,13.66,0,5,1071
2025-08-05,Bucaramanga,Deportes,Tapete de yoga,Tienda,2,23.21,0.2,4,1081
2025-08-07,Cali,Deportes,Bicicleta estática,Tienda,4,317.28,0.2,,1098
2025-08-08,Medellín,Hogar,Juego de sábanas,Online,1,35.42,0.1,4,1171
2025-08-08,Medellín,Deportes,Mancuernas 10 kg,Tienda,4,43.04,0,4,1116
2025-08-08,Bucaramanga,Deportes,Bicicleta estática,Online,2,274.68,0,4,1016
2025-08-10,Cali,Hogar,Aspiradora,Online,5,161.02,0,4,1018
2025-08-11,Cali,Moda,Tenis casuales,Online,4,67.87,0.1,5,1060
2025-08-11,Bucaramanga,Deportes,Botella térmica,Tienda,2,17.95,0.2,4,1000
2025-08-14,Medellín,Moda,Tenis casuales,Online,4,59.91,0,3,1018
2025-08-15,Medellín,Deportes,Mancuernas 10 kg,Online,3,43.22,0.1,4,1020
2025-08-15,Medellín,Electrónica,Parlante Bluetooth,Tienda,2,49.41,0.1,4,1073
2025-08-16,Cali,Moda,Bolso,Tienda,3,55.75,0,4,1088
2025-08-16,Barranquilla,Deportes,Bicicleta estática,Online,1,315.34,0,4,1123
2025-08-17,Bucaramanga,Hogar,Juego de sábanas,Online,5,41.61,0,,1069
2025-08-17,Barranquilla,Electrónica,Audífonos inalámbricos,Tienda,2,61.49,0.05,4,1020
2025-08-18,Bogotá,Hogar,Set de ollas,Online,2,82.41,0.05,4,1032
2025-08-19,Bogotá,Hogar,Juego de sábanas,Tienda,5,37.84,0.15,3,1061
2025-08-20,Bucaramanga,Electrónica,Cámara de seguridad,Online,3,86.26,0,5,1036
2025-08-20,Cali,Electrónica,Smartwatch,Tienda,2,139.37,0,4,1070
2025-08-20,Bogotá,Hogar,Set de ollas,Tienda,1,96.64,0.15,4,1030
2025-08-21,Cali,Electrónica,Cámara de seguridad,Tienda,3,77.17,0,5,1066
2025-08-22,Bogotá,Electrónica,Smartwatch,Online,2,119.91,0,5,1065
2025-08-22,Barranquilla,Electrónica,Audífonos inalámbricos,Online,3,61.25,0,4,1178
2025-08-24,Medellín,Electrónica,Tablet 10",Tienda,2,245.70,0.05,3,1037
2025-08-24,Bogotá,Hogar,Licuadora,Online,1,58.39,0,4,1111
2025-08-25,Bucaramanga,Moda,Jeans,Tienda,1,52.32,0,4,1170
2025-08-26,Medellín,Deportes,Balón de fútbol,Tienda,1,23.16,0,4,1171
2025-08-26,Medellín,Moda,Jeans,Tienda,2,53.79,0.15,4,1012
2025-08-27,Bogotá,Hogar,Lámpara de mesa,Online,5,30.02,0.05,4,1091
2025-08-28,Bogotá,Hogar,Lámpara de mesa,Online,2,26.31,0.1,5,1017
2025-08-29,Bogotá,Hogar,Lámpara de mesa,Tienda,1,30.43,0,4,1103
2025-08-30,Medellín,Deportes,Tapete de yoga,Online,4,22.60,0.05,4,1068
2025-08-31,Medellín,Electrónica,Cámara de seguridad,Online,2,71.35,0,5,1005
2025-09-01,Medellín,Hogar,Juego de sábanas,Online,1,42.54,0,4,1020
2025-09-03,Bogotá,Electrónica,Tablet 10",Tienda,3,233.50,0,4,1167
2025-09-03,Bogotá,Hogar,Set de ollas,Tienda,3,86.71,0,4,1121
2025-09-03,Bogotá,Deportes,Bicicleta estática,Online,4,321.09,0,3,1127
2025-09-03,Cali,Deportes,Balón de fútbol,Tienda,4,25.28,0,4,1148
2025-09-04,Medellín,Electrónica,Audífonos inalámbricos,Tienda,3,60.45,0.15,4,1154
2025-09-04,Medellín,Moda,Bolso,Online,3,63.70,0,4,1059
2025-09-05,Bogotá,Hogar,Lámpara de mesa,Online,2,29.11,0.05,4,1174
2025-09-06,Bogotá,Moda,Jeans,Tienda,3,50.31,0.05,4,1160
2025-09-06,Cali,Hogar,Lámpara de mesa,Online,1,28.20,0,5,1123
